fotograma,tipo_objeto,confianza,identificador_tracking,x1,y1,x2,y2,tiene_matricula,m_confianza,mx1,my1,mx2,my2
25,COCHE,0.71,2,1308,312,1366,366,False,,,,,
26,GUAGUA,0.91,1,1367,143,1771,441,False,,,,,
26,COCHE,0.71,2,1308,312,1365,366,False,,,,,
27,GUAGUA,0.9,1,1366,145,1760,440,False,,,,,
27,COCHE,0.69,2,1308,311,1365,365,False,,,,,
28,GUAGUA,0.9,1,1364,148,1745,437,False,,,,,
28,COCHE,0.68,2,1308,310,1364,366,False,,,,,
29,GUAGUA,0.91,1,1363,150,1736,436,False,,,,,
29,COCHE,0.65,2,1307,309,1364,365,False,,,,,
30,GUAGUA,0.9,1,1363,152,1731,437,False,,,,,
30,COCHE,0.63,2,1307,308,1362,365,False,,,,,
31,GUAGUA,0.91,1,1361,153,1727,433,False,,,,,
31,COCHE,0.62,2,1306,307,1359,364,False,,,,,
32,GUAGUA,0.9,1,1360,155,1726,430,False,,,,,
32,COCHE,0.64,2,1305,308,1357,363,False,,,,,
33,GUAGUA,0.92,1,1360,158,1712,426,False,,,,,
33,COCHE,0.65,2,1304,308,1356,363,False,,,,,
34,GUAGUA,0.93,1,1358,160,1701,426,False,,,,,
34,COCHE,0.63,2,1303,308,1355,363,False,,,,,
35,GUAGUA,0.93,1,1355,161,1694,429,False,,,,,
35,COCHE,0.62,2,1302,308,1354,363,False,,,,,
36,GUAGUA,0.92,1,1355,163,1691,429,False,,,,,
36,COCHE,0.6,2,1302,309,1352,362,False,,,,,
37,GUAGUA,0.93,1,1355,166,1681,427,False,,,,,
37,COCHE,0.61,2,1302,310,1351,362,False,,,,,
38,GUAGUA,0.92,1,1354,166,1674,425,False,,,,,
38,COCHE,0.55,2,1302,311,1350,362,False,,,,,
39,GUAGUA,0.91,1,1352,168,1668,424,True,0.28,1545,204,1585,552
39,COCHE,0.49,2,1302,313,1348,362,False,,,,,
40,GUAGUA,0.91,1,1351,167,1661,422,False,,,,,
40,COCHE,0.48,2,1302,314,1347,361,False,,,,,
41,GUAGUA,0.91,1,1349,169,1655,421,False,,,,,
41,COCHE,0.45,2,1302,314,1347,362,False,,,,,
42,GUAGUA,0.93,1,1349,172,1649,417,False,,,,,
42,COCHE,0.52,2,1303,315,1345,360,False,,,,,
43,GUAGUA,0.94,1,1346,175,1644,416,False,,,,,
43,COCHE,0.47,2,1302,316,1344,360,False,,,,,
44,GUAGUA,0.93,1,1344,176,1637,415,False,,,,,
44,COCHE,0.54,2,1302,316,1342,361,False,,,,,
45,GUAGUA,0.93,1,1343,178,1635,414,False,,,,,
45,COCHE,0.42,2,1300,316,1341,361,False,,,,,
46,GUAGUA,0.92,1,1342,179,1630,412,False,,,,,
46,COCHE,0.38,2,1300,315,1340,361,False,,,,,
47,GUAGUA,0.93,1,1341,181,1626,412,False,,,,,
47,COCHE,0.38,2,1300,313,1340,359,False,,,,,
48,GUAGUA,0.92,1,1341,182,1623,413,False,,,,,
48,COCHE,0.32,2,1300,313,1339,358,False,,,,,
49,GUAGUA,0.93,1,1340,184,1615,413,False,,,,,
49,COCHE,0.29,2,1298,314,1338,357,False,,,,,
50,GUAGUA,0.92,1,1340,185,1612,412,False,,,,,
50,COCHE,0.28,2,1297,315,1338,357,False,,,,,
51,GUAGUA,0.93,1,1340,188,1603,411,False,,,,,
51,COCHE,0.3,2,1296,316,1338,359,False,,,,,
52,GUAGUA,0.94,1,1337,188,1598,411,False,,,,,
52,COCHE,0.29,2,1295,318,1337,359,False,,,,,
53,GUAGUA,0.93,1,1336,189,1595,411,False,,,,,
53,COCHE,0.28,2,1294,319,1337,361,False,,,,,
54,GUAGUA,0.93,1,1335,190,1591,411,False,,,,,
54,COCHE,0.23,2,1293,318,1337,362,False,,,,,
55,GUAGUA,0.92,1,1334,191,1591,409,False,,,,,
55,COCHE,0.2,2,1293,314,1336,363,False,,,,,
56,GUAGUA,0.91,1,1334,191,1584,409,False,,,,,
56,COCHE,0.2,2,1293,313,1336,361,False,,,,,
57,GUAGUA,0.91,1,1334,192,1579,408,False,,,,,
57,COCHE,0.17,2,1293,312,1336,359,False,,,,,
58,GUAGUA,0.91,1,1334,192,1575,407,False,,,,,
58,COCHE,0.18,2,1292,312,1333,356,False,,,,,
59,GUAGUA,0.92,1,1333,193,1570,406,False,,,,,
59,COCHE,0.2,2,1292,313,1331,355,False,,,,,
60,GUAGUA,0.91,1,1332,195,1567,404,False,,,,,
60,COCHE,0.23,2,1290,314,1330,356,False,,,,,
61,GUAGUA,0.9,1,1333,195,1563,404,False,,,,,
61,COCHE,0.23,2,1290,315,1329,356,False,,,,,
62,GUAGUA,0.91,1,1333,196,1561,404,False,,,,,
62,COCHE,0.3,2,1289,318,1328,357,False,,,,,
63,GUAGUA,0.91,1,1333,198,1555,405,False,,,,,
63,COCHE,0.39,2,1289,321,1329,358,False,,,,,
64,GUAGUA,0.89,1,1330,198,1551,405,False,,,,,
64,COCHE,0.41,2,1289,321,1328,358,False,,,,,
65,GUAGUA,0.87,1,1328,198,1548,403,False,,,,,
65,COCHE,0.44,2,1288,319,1327,358,False,,,,,
66,GUAGUA,0.85,1,1327,199,1543,401,False,,,,,
66,COCHE,0.44,2,1288,319,1326,359,False,,,,,
67,GUAGUA,0.81,1,1326,200,1539,400,False,,,,,
67,COCHE,0.49,2,1287,319,1326,360,False,,,,,
68,GUAGUA,0.77,1,1325,201,1536,397,False,,,,,
68,COCHE,0.46,2,1287,319,1325,359,False,,,,,
69,GUAGUA,0.77,1,1324,202,1533,396,False,,,,,
69,COCHE,0.47,2,1287,320,1325,359,False,,,,,
70,GUAGUA,0.75,1,1323,204,1530,395,False,,,,,
70,COCHE,0.51,2,1286,320,1326,360,False,,,,,
71,GUAGUA,0.76,1,1324,205,1527,397,False,,,,,
71,COCHE,0.45,2,1286,319,1326,358,False,,,,,
72,GUAGUA,0.76,1,1322,205,1524,396,False,,,,,
72,COCHE,0.52,2,1286,319,1324,358,False,,,,,
73,GUAGUA,0.77,1,1320,208,1523,394,False,,,,,
73,COCHE,0.61,2,1286,319,1323,358,False,,,,,
74,GUAGUA,0.79,1,1320,209,1520,393,False,,,,,
74,COCHE,0.6,2,1286,320,1323,357,False,,,,,
75,GUAGUA,0.78,1,1320,210,1516,392,False,,,,,
75,COCHE,0.59,2,1285,321,1322,356,False,,,,,
76,GUAGUA,0.79,1,1319,210,1513,392,False,,,,,
76,COCHE,0.53,2,1285,321,1321,355,False,,,,,
77,GUAGUA,0.75,1,1319,211,1510,391,False,,,,,
77,COCHE,0.51,2,1285,317,1320,356,False,,,,,
78,GUAGUA,0.69,1,1318,212,1507,391,False,,,,,
78,COCHE,0.55,2,1285,316,1318,356,False,,,,,
79,GUAGUA,0.69,1,1318,212,1505,390,False,,,,,
79,COCHE,0.51,2,1285,313,1318,356,False,,,,,
80,GUAGUA,0.61,1,1317,213,1503,390,False,,,,,
80,COCHE,0.44,2,1284,311,1318,355,False,,,,,
81,GUAGUA,0.77,1,1316,214,1500,390,False,,,,,
81,COCHE,0.4,2,1284,311,1318,356,False,,,,,
82,GUAGUA,0.8,1,1316,215,1499,389,False,,,,,
82,COCHE,0.38,2,1284,312,1317,356,False,,,,,
83,GUAGUA,0.78,1,1316,215,1497,390,False,,,,,
83,COCHE,0.37,2,1284,313,1316,356,False,,,,,
84,GUAGUA,0.78,1,1314,215,1495,389,False,,,,,
84,COCHE,0.38,2,1283,313,1315,355,False,,,,,
85,GUAGUA,0.74,1,1314,215,1491,388,False,,,,,
85,COCHE,0.31,2,1284,310,1315,354,False,,,,,
86,GUAGUA,0.71,1,1314,216,1489,388,False,,,,,
86,COCHE,0.34,2,1284,308,1315,354,False,,,,,
87,GUAGUA,0.67,1,1316,216,1486,387,False,,,,,
87,COCHE,0.25,2,1284,308,1314,354,False,,,,,
88,GUAGUA,0.51,1,1316,216,1485,386,False,,,,,
88,COCHE,0.24,2,1283,308,1314,353,False,,,,,
89,GUAGUA,0.58,1,1315,216,1482,387,False,,,,,
89,COCHE,0.32,2,1284,308,1314,352,False,,,,,
90,GUAGUA,0.62,1,1314,217,1480,385,False,,,,,
90,COCHE,0.35,2,1283,306,1314,351,False,,,,,
91,COCHE,0.31,2,1282,307,1313,352,False,,,,,
92,COCHE,0.3,2,1280,310,1313,354,False,,,,,
93,COCHE,0.28,2,1280,311,1312,354,False,,,,,
93,GUAGUA,0.69,1,1314,219,1474,382,False,,,,,
94,COCHE,0.24,2,1280,311,1312,353,False,,,,,
94,GUAGUA,0.52,1,1312,220,1472,382,False,,,,,
95,COCHE,0.3,2,1278,308,1312,352,False,,,,,
95,GUAGUA,0.33,1,1311,222,1470,381,False,,,,,
96,COCHE,0.26,2,1277,306,1312,352,False,,,,,
96,GUAGUA,0.53,1,1312,223,1467,381,False,,,,,
96,PERSONA,0.76,3,0,236,52,490,False,,,,,
97,COCHE,0.11,2,1277,302,1311,351,False,,,,,
97,GUAGUA,0.71,1,1311,223,1464,381,False,,,,,
97,PERSONA,0.8,3,0,234,58,488,False,,,,,
97,COCHE,0.73,4,1449,319,1514,381,False,,,,,
98,COCHE,0.13,2,1276,300,1311,350,False,,,,,
98,GUAGUA,0.76,1,1310,224,1463,380,False,,,,,
98,PERSONA,0.84,3,0,232,66,490,False,,,,,
98,COCHE,0.72,4,1449,320,1514,381,False,,,,,
99,COCHE,0.12,2,1276,300,1311,348,False,,,,,
99,GUAGUA,0.73,1,1310,226,1462,380,False,,,,,
99,PERSONA,0.83,3,0,234,71,490,False,,,,,
99,COCHE,0.73,4,1446,320,1514,380,False,,,,,
100,COCHE,0.13,2,1277,299,1311,347,False,,,,,
100,GUAGUA,0.79,1,1309,226,1460,380,False,,,,,
100,PERSONA,0.83,3,0,236,76,491,False,,,,,
100,COCHE,0.72,4,1443,320,1514,380,False,,,,,
101,GUAGUA,0.81,1,1308,226,1459,378,False,,,,,
101,PERSONA,0.84,3,0,235,77,493,False,,,,,
101,COCHE,0.68,4,1438,320,1516,381,False,,,,,
102,GUAGUA,0.71,1,1308,227,1458,379,False,,,,,
102,PERSONA,0.87,3,0,234,78,496,False,,,,,
102,COCHE,0.7,4,1436,320,1516,381,False,,,,,
103,GUAGUA,0.79,1,1308,228,1457,378,False,,,,,
103,PERSONA,0.86,3,0,232,82,494,False,,,,,
103,COCHE,0.7,4,1434,320,1517,382,False,,,,,
104,GUAGUA,0.77,1,1309,229,1456,379,False,,,,,
104,PERSONA,0.89,3,0,231,89,494,False,,,,,
104,COCHE,0.72,4,1435,320,1518,382,False,,,,,
105,GUAGUA,0.63,1,1309,229,1456,379,False,,,,,
105,PERSONA,0.84,3,2,232,96,491,False,,,,,
105,COCHE,0.73,4,1435,320,1519,382,False,,,,,
106,GUAGUA,0.78,1,1308,229,1453,379,False,,,,,
106,PERSONA,0.86,3,9,230,104,492,False,,,,,
106,COCHE,0.73,4,1435,320,1519,382,False,,,,,
107,GUAGUA,0.76,1,1308,230,1450,379,False,,,,,
107,PERSONA,0.88,3,19,229,114,491,False,,,,,
107,COCHE,0.74,4,1434,320,1519,382,False,,,,,
108,GUAGUA,0.66,1,1308,232,1446,378,False,,,,,
108,PERSONA,0.88,3,26,229,131,492,False,,,,,
108,COCHE,0.74,4,1433,320,1519,381,False,,,,,
109,GUAGUA,0.66,1,1307,232,1445,378,False,,,,,
109,PERSONA,0.85,3,30,229,147,491,False,,,,,
109,COCHE,0.74,4,1433,320,1519,381,False,,,,,
110,GUAGUA,0.77,1,1304,232,1445,378,False,,,,,
110,PERSONA,0.87,3,34,230,156,490,False,,,,,
110,COCHE,0.75,4,1431,320,1518,381,False,,,,,
111,GUAGUA,0.76,1,1303,233,1443,377,False,,,,,
111,PERSONA,0.87,3,38,232,164,488,False,,,,,
111,COCHE,0.76,4,1431,321,1518,381,False,,,,,
112,GUAGUA,0.7,1,1301,233,1440,377,False,,,,,
112,PERSONA,0.87,3,40,235,164,486,False,,,,,
112,COCHE,0.76,4,1430,321,1518,381,False,,,,,
113,GUAGUA,0.6,1,1298,233,1437,377,False,,,,,
113,PERSONA,0.86,3,40,239,169,487,False,,,,,
113,COCHE,0.77,4,1428,321,1517,381,False,,,,,
114,GUAGUA,0.51,1,1297,234,1435,377,False,,,,,
114,PERSONA,0.85,3,45,241,170,488,False,,,,,
114,COCHE,0.78,4,1428,321,1517,382,False,,,,,
115,GUAGUA,0.29,1,1294,235,1434,377,False,,,,,
115,PERSONA,0.84,3,51,240,170,490,False,,,,,
115,COCHE,0.8,4,1425,320,1517,382,False,,,,,
116,GUAGUA,0.45,1,1294,235,1431,376,False,,,,,
116,PERSONA,0.85,3,61,240,171,488,False,,,,,
116,COCHE,0.79,4,1424,321,1517,382,False,,,,,
117,GUAGUA,0.39,1,1294,235,1430,374,False,,,,,
117,PERSONA,0.81,3,74,239,172,485,False,,,,,
117,COCHE,0.79,4,1421,321,1517,382,False,,,,,
118,GUAGUA,0.56,1,1292,236,1429,375,False,,,,,
118,PERSONA,0.8,3,87,238,173,482,False,,,,,
118,COCHE,0.8,4,1420,320,1517,382,False,,,,,
119,GUAGUA,0.61,1,1291,236,1428,374,False,,,,,
119,PERSONA,0.76,3,95,238,174,481,False,,,,,
119,COCHE,0.8,4,1420,320,1516,382,False,,,,,
120,GUAGUA,0.65,1,1291,237,1428,374,False,,,,,
120,PERSONA,0.73,3,101,240,180,479,False,,,,,
120,COCHE,0.8,4,1418,321,1516,382,False,,,,,
121,GUAGUA,0.69,1,1290,237,1427,374,False,,,,,
121,PERSONA,0.78,3,107,240,184,478,False,,,,,
121,COCHE,0.77,4,1419,321,1517,382,False,,,,,
122,GUAGUA,0.69,1,1290,238,1427,373,False,,,,,
122,PERSONA,0.77,3,111,241,191,480,False,,,,,
122,COCHE,0.75,4,1417,321,1517,382,False,,,,,
123,GUAGUA,0.67,1,1289,238,1427,373,False,,,,,
123,PERSONA,0.82,3,113,242,200,479,False,,,,,
123,COCHE,0.74,4,1418,321,1517,382,False,,,,,
124,GUAGUA,0.66,1,1289,239,1425,373,False,,,,,
124,PERSONA,0.81,3,115,245,207,477,False,,,,,
124,COCHE,0.75,4,1420,321,1517,382,False,,,,,
125,GUAGUA,0.66,1,1288,239,1423,373,False,,,,,
125,PERSONA,0.8,3,116,248,213,477,False,,,,,
125,COCHE,0.76,4,1421,321,1517,382,False,,,,,
126,GUAGUA,0.67,1,1289,239,1421,373,False,,,,,
126,PERSONA,0.8,3,121,247,217,475,False,,,,,
126,COCHE,0.75,4,1422,322,1517,381,False,,,,,
127,GUAGUA,0.66,1,1289,239,1419,372,False,,,,,
127,PERSONA,0.81,3,125,242,221,475,False,,,,,
127,COCHE,0.75,4,1421,322,1516,381,False,,,,,
128,GUAGUA,0.72,1,1289,239,1419,371,False,,,,,
128,PERSONA,0.81,3,130,238,223,475,False,,,,,
128,COCHE,0.75,4,1422,322,1516,382,False,,,,,
129,GUAGUA,0.75,1,1288,241,1416,371,False,,,,,
129,PERSONA,0.78,3,141,244,226,474,False,,,,,
129,COCHE,0.74,4,1427,321,1516,381,False,,,,,
130,GUAGUA,0.71,1,1288,241,1416,370,False,,,,,
130,PERSONA,0.76,3,148,245,229,472,False,,,,,
130,COCHE,0.72,4,1431,321,1516,381,False,,,,,
131,GUAGUA,0.7,1,1287,242,1415,369,False,,,,,
131,PERSONA,0.8,3,156,244,233,471,False,,,,,
131,COCHE,0.72,4,1432,321,1516,381,False,,,,,
132,GUAGUA,0.72,1,1287,241,1413,369,False,,,,,
132,PERSONA,0.83,3,161,247,239,470,False,,,,,
132,COCHE,0.72,4,1430,321,1515,381,False,,,,,
133,GUAGUA,0.71,1,1287,242,1411,368,False,,,,,
133,PERSONA,0.84,3,167,246,245,470,False,,,,,
133,COCHE,0.73,4,1424,321,1515,381,False,,,,,
134,GUAGUA,0.58,1,1287,244,1410,367,False,,,,,
134,PERSONA,0.86,3,171,241,251,469,False,,,,,
134,COCHE,0.72,4,1424,321,1515,381,False,,,,,
135,GUAGUA,0.51,1,1286,245,1410,367,False,,,,,
135,PERSONA,0.86,3,178,240,259,467,False,,,,,
135,COCHE,0.72,4,1424,321,1514,382,False,,,,,
136,GUAGUA,0.67,1,1286,246,1408,367,False,,,,,
136,PERSONA,0.83,3,182,241,273,467,False,,,,,
136,COCHE,0.71,4,1424,321,1513,382,False,,,,,
137,GUAGUA,0.72,1,1287,247,1408,367,False,,,,,
137,PERSONA,0.83,3,185,246,279,468,False,,,,,
137,COCHE,0.72,4,1420,320,1513,382,False,,,,,
138,GUAGUA,0.64,1,1286,247,1407,366,False,,,,,
138,PERSONA,0.83,3,188,250,282,468,False,,,,,
138,COCHE,0.71,4,1420,320,1514,382,False,,,,,
139,GUAGUA,0.67,1,1285,248,1405,367,False,,,,,
139,PERSONA,0.85,3,191,256,284,469,False,,,,,
139,COCHE,0.71,4,1419,320,1514,382,False,,,,,
140,GUAGUA,0.7,1,1284,249,1404,368,False,,,,,
140,PERSONA,0.86,3,193,257,287,469,False,,,,,
140,COCHE,0.7,4,1419,321,1514,382,False,,,,,
141,GUAGUA,0.71,1,1283,250,1403,367,False,,,,,
141,PERSONA,0.87,3,196,262,288,469,False,,,,,
141,COCHE,0.7,4,1419,320,1515,382,False,,,,,
142,GUAGUA,0.53,1,1282,250,1400,367,False,,,,,
142,PERSONA,0.86,3,200,257,289,468,False,,,,,
142,COCHE,0.7,4,1420,321,1515,382,False,,,,,
143,GUAGUA,0.5,1,1280,250,1397,367,False,,,,,
143,PERSONA,0.84,3,205,255,290,467,False,,,,,
143,COCHE,0.69,4,1422,321,1514,381,False,,,,,
144,GUAGUA,0.55,1,1279,250,1395,366,False,,,,,
144,PERSONA,0.83,3,212,255,290,465,False,,,,,
144,COCHE,0.69,4,1423,321,1516,382,False,,,,,
145,GUAGUA,0.57,1,1278,249,1393,365,False,,,,,
145,PERSONA,0.83,3,221,248,292,464,False,,,,,
145,COCHE,0.68,4,1424,322,1516,382,False,,,,,
146,GUAGUA,0.64,1,1277,249,1394,365,False,,,,,
146,PERSONA,0.8,3,229,245,294,462,False,,,,,
146,COCHE,0.67,4,1425,322,1516,382,False,,,,,
147,GUAGUA,0.6,1,1277,250,1392,365,False,,,,,
147,PERSONA,0.8,3,233,244,296,461,False,,,,,
147,COCHE,0.62,4,1425,322,1515,381,False,,,,,
148,GUAGUA,0.64,1,1276,250,1393,365,False,,,,,
148,PERSONA,0.38,3,238,243,301,461,False,,,,,
148,COCHE,0.56,4,1425,322,1512,381,False,,,,,
149,GUAGUA,0.72,1,1276,250,1392,365,False,,,,,
149,PERSONA,0.12,3,241,244,306,461,False,,,,,
149,COCHE,0.56,4,1426,322,1510,380,False,,,,,
150,GUAGUA,0.74,1,1276,250,1392,365,False,,,,,
150,PERSONA,0.81,3,242,242,309,461,False,,,,,
150,COCHE,0.58,4,1426,322,1511,381,False,,,,,
151,GUAGUA,0.76,1,1275,250,1391,364,False,,,,,
151,PERSONA,0.8,3,243,246,316,461,False,,,,,
151,COCHE,0.59,4,1426,323,1511,381,False,,,,,
152,GUAGUA,0.78,1,1274,250,1389,364,False,,,,,
152,PERSONA,0.78,3,244,249,320,461,False,,,,,
152,COCHE,0.56,4,1426,323,1509,381,False,,,,,
153,GUAGUA,0.83,1,1274,251,1386,364,False,,,,,
153,PERSONA,0.8,3,244,251,323,460,False,,,,,
153,COCHE,0.56,4,1426,323,1508,381,False,,,,,
154,GUAGUA,0.82,1,1274,251,1385,364,False,,,,,
154,PERSONA,0.79,3,248,252,326,459,False,,,,,
154,COCHE,0.54,4,1425,323,1507,381,False,,,,,
155,GUAGUA,0.78,1,1273,251,1384,362,False,,,,,
155,PERSONA,0.75,3,251,256,330,459,False,,,,,
155,COCHE,0.53,4,1425,323,1505,381,False,,,,,
156,GUAGUA,0.79,1,1272,251,1382,362,False,,,,,
156,PERSONA,0.73,3,253,255,331,459,False,,,,,
156,COCHE,0.52,4,1425,323,1504,379,False,,,,,
157,GUAGUA,0.76,1,1271,252,1381,362,False,,,,,
157,PERSONA,0.8,3,260,253,334,452,False,,,,,
157,COCHE,0.54,4,1425,323,1508,378,False,,,,,
158,GUAGUA,0.76,1,1270,252,1379,362,False,,,,,
158,PERSONA,0.8,3,266,252,338,449,False,,,,,
158,COCHE,0.57,4,1424,323,1511,379,False,,,,,
159,GUAGUA,0.71,1,1270,252,1378,362,False,,,,,
159,PERSONA,0.79,3,275,246,343,450,False,,,,,
159,COCHE,0.56,4,1425,323,1512,379,False,,,,,
160,GUAGUA,0.75,1,1271,252,1379,362,False,,,,,
160,PERSONA,0.8,3,282,244,350,450,False,,,,,
160,COCHE,0.55,4,1425,323,1512,379,False,,,,,
161,GUAGUA,0.79,1,1270,252,1379,362,False,,,,,
161,PERSONA,0.81,3,289,245,355,451,False,,,,,
161,COCHE,0.55,4,1425,323,1512,378,False,,,,,
162,GUAGUA,0.78,1,1269,252,1378,361,False,,,,,
162,PERSONA,0.8,3,292,250,360,451,False,,,,,
162,COCHE,0.54,4,1425,323,1512,378,False,,,,,
163,GUAGUA,0.76,1,1269,252,1377,361,False,,,,,
163,PERSONA,0.75,3,295,257,366,452,False,,,,,
163,COCHE,0.54,4,1425,323,1512,378,False,,,,,
164,GUAGUA,0.76,1,1269,252,1375,361,False,,,,,
164,PERSONA,0.74,3,298,262,373,451,False,,,,,
164,COCHE,0.53,4,1425,323,1513,378,False,,,,,
165,GUAGUA,0.79,1,1269,252,1374,361,False,,,,,
165,PERSONA,0.81,3,301,265,379,451,False,,,,,
165,COCHE,0.55,4,1424,323,1513,378,False,,,,,
166,GUAGUA,0.77,1,1267,254,1373,361,False,,,,,
166,PERSONA,0.83,3,303,262,383,451,False,,,,,
166,COCHE,0.56,4,1425,323,1513,378,False,,,,,
167,GUAGUA,0.78,1,1264,254,1371,360,False,,,,,
167,PERSONA,0.83,3,305,262,385,451,False,,,,,
167,COCHE,0.54,4,1425,323,1511,379,False,,,,,
168,GUAGUA,0.79,1,1263,254,1370,359,False,,,,,
168,PERSONA,0.84,3,305,262,387,451,False,,,,,
168,COCHE,0.54,4,1425,323,1510,380,False,,,,,
169,GUAGUA,0.8,1,1262,254,1369,358,False,,,,,
169,PERSONA,0.86,3,308,259,388,450,False,,,,,
169,COCHE,0.6,4,1425,323,1513,382,False,,,,,
170,GUAGUA,0.79,1,1261,254,1368,358,False,,,,,
170,PERSONA,0.82,3,312,258,389,450,False,,,,,
170,COCHE,0.59,4,1425,323,1514,382,False,,,,,
171,GUAGUA,0.78,1,1259,255,1367,358,False,,,,,
171,PERSONA,0.77,3,318,257,393,450,False,,,,,
171,COCHE,0.6,4,1425,323,1514,382,False,,,,,
172,GUAGUA,0.76,1,1258,255,1365,357,False,,,,,
172,PERSONA,0.77,3,326,257,395,448,False,,,,,
172,COCHE,0.61,4,1425,323,1514,382,False,,,,,
173,GUAGUA,0.73,1,1258,256,1364,357,False,,,,,
173,PERSONA,0.78,3,332,259,396,447,False,,,,,
173,COCHE,0.59,4,1425,323,1514,382,False,,,,,
174,GUAGUA,0.73,1,1258,257,1362,357,False,,,,,
174,PERSONA,0.81,3,337,258,398,445,False,,,,,
174,COCHE,0.59,4,1425,323,1514,382,False,,,,,
175,GUAGUA,0.73,1,1258,257,1361,357,False,,,,,
175,PERSONA,0.61,3,341,258,400,444,False,,,,,
175,COCHE,0.59,4,1426,323,1514,381,False,,,,,
176,GUAGUA,0.73,1,1257,257,1360,357,False,,,,,
176,PERSONA,0.59,3,343,256,403,444,False,,,,,
176,COCHE,0.57,4,1426,323,1514,380,False,,,,,
177,GUAGUA,0.71,1,1256,257,1359,357,False,,,,,
177,PERSONA,0.6,3,345,262,403,445,False,,,,,
177,COCHE,0.57,4,1427,323,1513,380,False,,,,,
178,GUAGUA,0.67,1,1256,257,1358,358,False,,,,,
178,PERSONA,0.77,3,348,258,409,444,False,,,,,
178,COCHE,0.54,4,1426,323,1512,381,False,,,,,
178,COCHE,0.61,5,1359,321,1399,357,False,,,,,
179,GUAGUA,0.69,1,1256,257,1357,358,False,,,,,
179,PERSONA,0.81,3,348,255,413,444,False,,,,,
179,COCHE,0.56,4,1426,323,1512,380,False,,,,,
179,COCHE,0.62,5,1360,321,1400,356,False,,,,,
180,GUAGUA,0.65,1,1256,257,1356,358,False,,,,,
180,PERSONA,0.78,3,350,255,415,444,False,,,,,
180,COCHE,0.54,4,1426,324,1511,379,False,,,,,
180,COCHE,0.64,5,1361,321,1400,357,False,,,,,
181,GUAGUA,0.64,1,1255,258,1355,358,False,,,,,
